Iron Man,Robert Downey Jr.,Gweneth Paltrow,Terrence Howard,Jon Favreau,Clark Gregg,Paul Bettany,,,,,,,,,,,,,,,,,,,,,
The incredible Hulk,Edward Norton,Liv Tyler,Tim Roth,William Hurt,,,,,,,,,,,,,,,,,,,,,,,
Iron Man 2,Robert Downey Jr.,Gweneth Paltrow,Mickey Rourke,Samuel L. Jackson,Scarlett Johansson,Don Cheadle,Jon Favreau,Clark Gregg,Paul Bettany,,,,,,,,,,,,,,,,,,
Thor,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Idris Elba,Tom Hiddleston,Clark Gregg,,,,,,,,,,,,,,,,,,,,,
Captain America: The first Avenger,Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell,Sebastian Stan,Toby Jones,,,,,,,,,,,,,,,,,,,,,
Marvel's the Avengers,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,Samuel L. Jackson,Chris Hemsworth,Mark Ruffalo,Clark Gregg,Paul Bettany,,,,,,,,,,,,,,,,,,
Iron Man 3,Robert Downey Jr.,Gweneth Paltrow,Guy Pearce,Ben Kingsley,Jon Favreau,Don Cheadle,Paul Bettany,,,,,,,,,,,,,,,,,,,,
Thor: The dark world,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Idris Elba,Anthony Hopkins,,,,,,,,,,,,,,,,,,,,,,
Captain America : The Winter Soldier,Chris Evans,Scarlett Johansson,Samuel L. Jackson,Sebastian Stan,Anthony Mackie,Hayley Atwell,Emily VanCamp,,,,,,,,,,,,,,,,,,,,
Guardians Of the Galaxy,Chris Patt,Vin Diesel,Bradely Cooper,Zoe Saldana,Dave Bautista,,,,,,,,,,,,,,,,,,,,,,
Avengers : Age of Ultron,Robert Downey Jr.,Chris Evans,Chris Hemsworth,Mark Ruffalo,Samuel L. Jackson,Scarlett Johansson,Jeremy Renner,Elisabeth Olsen,Idris Elba,Paul Bettany,,,,,,,,,,,,,,,,,
Ant-Man,Paul Rudd,Michael Douglas,Corey Stall,Evangeline Lilly,,,,,,,,,,,,,,,,,,,,,,,
Captain America: Civil War,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Sebastian Stan,Tom Holland,Chadwick Boseman,Elisabeth Olsen,Jeremy Renner,Paul Rudd,Don Cheadle,Anthony Mackie,William Hurt,Emily VanCamp,Paul Bettany,,,,,,,,,,,,,
Doctor Strange,Benedict Cumberbatch,Chiswetel Ejiofor,Racheal McAdams,Benedict Wong,,,,,,,,,,,,,,,,,,,,,,,
Guardians of the Galaxy Vol. 2,Chris Patt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,,,,,,,,,,,,,,,,,,,,,,
Spider-Man:Homecoming,Tom Holland,Michael Keaton,Robert Downey Jr.,Jacob Batalon,Jon Favreau,,,,,,,,,,,,,,,,,,,,,,
Thor:Ragnarok,Chris Hemsworth,Cate Blanchett,Tom Hiddleston,Tessa Thompson,Taika Waititi,Idris Elba,Anthony Hopkins,Mark Ruffalo,,,,,,,,,,,,,,,,,,,
Black Panther,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Letitia Wright,Martin Freeman,,,,,,,,,,,,,,,,,,,,,,
Avengers: Infinity War,Robert Downey Jr.,Chris Evans,Chris Hemsworth,Mark Ruffalo,Josh Brolin,Idris Elba,Chadwick Boseman,Gweneth Paltrow,Tessa Thompson,Taika Waititi,Chris Patt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,Tom Holland,Scarlett Johansson,Jeremy Renner,Paul Rudd,Evangeline Lilly,Brie Larson,Benedict Cumberbatch,Samuel L. Jackson,Elisabeth Olsen,Anthony Mackie,William Hurt,Paul Bettany
Ant-Man and the Wasp,Paul Rudd,Evangeline Lilly,Micheal Pena,Michael Douglas,Laurence Fishburne,,,,,,,,,,,,,,,,,,,,,,
Captain-Marvel,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Samuel L. Jackson,Clark Gregg,,,,,,,,,,,,,,,,,,,,,,
Avengers:Endgame,Robert Downey Jr.,Chris Evans,Chris Hemsworth,Mark Ruffalo,Josh Brolin,Chadwick Boseman,Gweneth Paltrow,Tessa Thompson,Taika Waititi,Chris Patt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,Tom Holland,Scarlett Johansson,Jeremy Renner,Paul Rudd,Evangeline Lilly,Brie Larson,Benedict Cumberbatch,Benedict Wong,Elisabeth Olsen,Anthony Mackie,Brie Larson,Jon Favreau,William Hurt
Spider-Man:Far From Home,Tom Holland,Samuel L. Jackson,Jake Gyllenhaal,Zendaya,Jacob Batalon,Jon Favreau,,,,,,,,,,,,,,,,,,,,,
Black Widow,Scarlett Johansson,Florence Pugh,David Harbour,Rachel Weisz,,,,,,,,,,,,,,,,,,,,,,,
Shang-Chi and the Legend of the Ten Rings,Simu Liu,Awkwafina,Meng’er Zhang,Ben Kingsley,Benedict Wong,,,,,,,,,,,,,,,,,,,,,,
Eternals,Gemma Chan,Richard Madden,Angelina Jolie,Barry Keoghan,Kumail Nanjiani,,,,,,,,,,,,,,,,,,,,,,
Spider-Man: No Way Home,Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,Andrew Garfield,Tobey Maguire,Jon Favreau,Charlie Cox,,,,,,,,,,,,,,,,,,,
Doctor Strange in the Multiverse of Madness,Benedict Cumberbatch,Racheal McAdams,Benedict Wong,Elisabeth Olsen,Xochiti Gomez,Patrick Stewart,,,,,,,,,,,,,,,,,,,,,
Thor: Love and Thunder,Chris Hemsworth,Christian Bale,Natalie Portman,Tessa Thompson,Taika Waititi,Idris Elba,,,,,,,,,,,,,,,,,,,,,
Werewolf by Night,Gael García Bernal,Laura Donnelly,Harriet Sansom Harris,,,,,,,,,,,,,,,,,,,,,,,,
Marvels' Agents of S.H.I.E.L.D.,Clark Gregg,Ming-Na Wen,Brett Dalton,Iain De Caestecker,Chloe Bennet,Elizabeth Henstridge,Stan Lee,Samuel L. Jackson,,,,,,,,,,,,,,,,,,,
Marvel's Agent Carter,Hayley Atwell,Enver Gjokaj,James D'Arcy,Chad Michel Murray,Bridget Regan,Stan Lee,Toby Jones,,,,,,,,,,,,,,,,,,,,
Marvels's Daredevil,Charlie Cox,Deborah Ann Woll,Vincent D'onofrio,Elden Henson,Jon Bernthal,Rosario Dawson,,,,,,,,,,,,,,,,,,,,,
Marvel - Jessica Jones,Krysten Ritter,Erin Moriarty,Rachel Taylor,David Tennant,Colby Minifie,Rosario Dawson,,,,,,,,,,,,,,,,,,,,,
Marvel's Luke Cage,Mike Colter,Simone Missick,Alfre Woodard,Mahershala Ali,Theo Rossi,Rossario Dawson,Rachel Taylor,Elden Henson,Finn Jones,,,,,,,,,,,,,,,,,,
Marvel's Iron Fist,Finn Jones,Jessica Henwick,Tom Pelphery,Jessica Stroup,David Wenham,Rossario Dawson,,,,,,,,,,,,,,,,,,,,,
Marvel - The Defenders,Mike Colter,Finn Jones,Charlie Cox,Jessica Henwick,Deborah Ann Woll,Simone Missick,Rachel Taylor,Elden Henson,,,,,,,,,,,,,,,,,,,
Inhumans,Anson Mount,Serinda Swan,Isabelle Cornish,Ellen Woglom,Eme Ikwuakor,Iwan Rheon,Ken Leung,Mike Moh,,,,,,,,,,,,,,,,,,,
Marvel's The Punisher,Jon Bernthal,Ben Barnes,Amber Rose Revah,Giorgia Whigham,Florida Lima,Jasan R. Moore,,,,,,,,,,,,,,,,,,,,,
Marvel's Runaways,Virginia Gardner,Lyrica Okano,Rhenzy Feliz,Ariela Barer,Allegra Acosta,Gregg Sulkin,Stan Lee,,,,,,,,,,,,,,,,,,,,
Cloak & Dagger,Olivia Holt,Aubrey Joseph,Gloria Reuben,Emma Lahana,Andrea Roth,JD Evermore,Noëlle Renée Bercy,,,,,,,,,,,,,,,,,,,,
